URLID,URL,TagID,Tag,Start,End,Time,State
video_validation_0000051,video_validation_0000051.mp4,20,background_background,49,49,2,1
video_validation_0000051,video_validation_0000051.mp4,20,background_background,77,77,2,1
video_validation_0000051,video_validation_0000051.mp4,20,background_background,93.5,93.5,2,1
video_validation_0000051,video_validation_0000051.mp4,20,background_background,150,150,2,1
video_validation_0000052,video_validation_0000052.mp4,20,background_background,15,15,2,1
video_validation_0000052,video_validation_0000052.mp4,20,background_background,29,29,2,1
video_validation_0000053,video_validation_0000053.mp4,20,background_background,2.5,2.5,2,1
video_validation_0000053,video_validation_0000053.mp4,20,background_background,18.5,18.5,2,1
video_validation_0000053,video_validation_0000053.mp4,20,background_background,26.5,26.5,2,1
video_validation_0000053,video_validation_0000053.mp4,20,background_background,33,33,2,1
video_validation_0000053,video_validation_0000053.mp4,20,background_background,46,46,2,1
video_validation_0000053,video_validation_0000053.mp4,20,background_background,54,54,2,1
video_validation_0000053,video_validation_0000053.mp4,20,background_background,72.5,72.5,2,1
video_validation_0000053,video_validation_0000053.mp4,20,background_background,82.5,82.5,2,1
video_validation_0000053,video_validation_0000053.mp4,20,background_background,93,93,2,1
video_validation_0000053,video_validation_0000053.mp4,20,background_background,100,100,2,1
video_validation_0000053,video_validation_0000053.mp4,20,background_background,117.5,117.5,2,1
video_validation_0000053,video_validation_0000053.mp4,20,background_background,131,131,2,1
video_validation_0000053,video_validation_0000053.mp4,20,background_background,146,146,2,1
video_validation_0000053,video_validation_0000053.mp4,20,background_background,156.5,156.5,2,1
video_validation_0000053,video_validation_0000053.mp4,20,background_background,167.5,167.5,2,1
video_validation_0000053,video_validation_0000053.mp4,20,background_background,182,182,2,1
video_validation_0000053,video_validation_0000053.mp4,20,background_background,197,197,2,1
video_validation_0000054,video_validation_0000054.mp4,20,background_background,124.5,124.5,1,1
video_validation_0000054,video_validation_0000054.mp4,20,background_background,129.5,129.5,1,1
video_validation_0000055,video_validation_0000055.mp4,20,background_background,15,15,1,1
video_validation_0000055,video_validation_0000055.mp4,20,background_background,33,33,1,1
video_validation_0000055,video_validation_0000055.mp4,20,background_background,53,53,1,1
video_validation_0000055,video_validation_0000055.mp4,20,background_background,67,67,1,1
video_validation_0000055,video_validation_0000055.mp4,20,background_background,79,79,1,1
video_validation_0000055,video_validation_0000055.mp4,20,background_background,92.5,92.5,1,1
video_validation_0000055,video_validation_0000055.mp4,20,background_background,101,101,1,1
video_validation_0000055,video_validation_0000055.mp4,20,background_background,111.5,111.5,1,1
video_validation_0000055,video_validation_0000055.mp4,20,background_background,122.5,122.5,1,1
video_validation_0000055,video_validation_0000055.mp4,20,background_background,134.5,134.5,1,1
video_validation_0000056,video_validation_0000056.mp4,20,background_background,13,13,1,1
