URLID,URL,TagID,Tag,Start,End,Time,State
video_validation_0000051,video_validation_0000051.mp4,20,background_background,21.5,21.5,1,1
video_validation_0000051,video_validation_0000051.mp4,20,background_background,79,79,1,1
video_validation_0000051,video_validation_0000051.mp4,20,background_background,126.5,126.5,1,1
video_validation_0000051,video_validation_0000051.mp4,20,background_background,161.5,161.5,1,1
video_validation_0000052,video_validation_0000052.mp4,20,background_background,52,52,1,1
video_validation_0000052,video_validation_0000052.mp4,20,background_background,152.5,152.5,1,1
video_validation_0000053,video_validation_0000053.mp4,20,background_background,12,12,1,1
video_validation_0000053,video_validation_0000053.mp4,20,background_background,29,29,1,1
video_validation_0000053,video_validation_0000053.mp4,20,background_background,44,44,1,1
video_validation_0000053,video_validation_0000053.mp4,20,background_background,59,59,1,1
video_validation_0000053,video_validation_0000053.mp4,20,background_background,70.5,70.5,1,1
video_validation_0000053,video_validation_0000053.mp4,20,background_background,83,83,1,1
video_validation_0000053,video_validation_0000053.mp4,20,background_background,94,94,1,1
video_validation_0000053,video_validation_0000053.mp4,20,background_background,107.5,107.5,1,1
video_validation_0000053,video_validation_0000053.mp4,20,background_background,122.5,122.5,1,1
video_validation_0000053,video_validation_0000053.mp4,20,background_background,133.5,133.5,1,1
video_validation_0000053,video_validation_0000053.mp4,20,background_background,148.5,148.5,1,1
video_validation_0000053,video_validation_0000053.mp4,20,background_background,159,159,1,1
video_validation_0000053,video_validation_0000053.mp4,20,background_background,171.5,171.5,1,1
video_validation_0000053,video_validation_0000053.mp4,20,background_background,183,183,1,1
video_validation_0000053,video_validation_0000053.mp4,20,background_background,196,196,1,1
video_validation_0000054,video_validation_0000054.mp4,20,background_background,71.5,71.5,1,1
video_validation_0000054,video_validation_0000054.mp4,20,background_background,133,133,1,1
video_validation_0000055,video_validation_0000055.mp4,20,background_background,40.5,40.5,1,1
video_validation_0000055,video_validation_0000055.mp4,20,background_background,55,55,1,1
video_validation_0000055,video_validation_0000055.mp4,20,background_background,67.5,67.5,1,1
video_validation_0000055,video_validation_0000055.mp4,20,background_background,80,80,1,1
video_validation_0000055,video_validation_0000055.mp4,20,background_background,93.5,93.5,1,1
video_validation_0000055,video_validation_0000055.mp4,20,background_background,103.5,103.5,1,1
video_validation_0000055,video_validation_0000055.mp4,20,background_background,113.5,113.5,1,1
video_validation_0000055,video_validation_0000055.mp4,20,background_background,126,126,1,1
video_validation_0000055,video_validation_0000055.mp4,20,background_background,149,149,1,1
video_validation_0000056,video_validation_0000056.mp4,20,background_background,13,13,1,1
video_validation_0000056,video_validation_0000056.mp4,20,background_background,44,44,1,1
video_validation_0000056,video_validation_0000056.mp4,20,background_background,67,67,1,1
video_validation_0000056,video_validation_0000056.mp4,20,background_background,79.5,79.5,1,1
video_validation_0000056,video_validation_0000056.mp4,20,background_background,88,88,1,1
video_validation_0000056,video_validation_0000056.mp4,20,background_background,98,98,1,1
video_validation_0000056,video_validation_0000056.mp4,20,background_background,124,124,1,1
video_validation_0000056,video_validation_0000056.mp4,20,background_background,136.5,136.5,1,1
video_validation_0000057,video_validation_0000057.mp4,20,background_background,6.5,6.5,1,1
video_validation_0000057,video_validation_0000057.mp4,20,background_background,30,30,1,1
video_validation_0000057,video_validation_0000057.mp4,20,background_background,49,49,1,1
video_validation_0000057,video_validation_0000057.mp4,20,background_background,85.5,85.5,1,1
video_validation_0000057,video_validation_0000057.mp4,20,background_background,101,101,1,1
video_validation_0000057,video_validation_0000057.mp4,20,background_background,127.5,127.5,1,1
video_validation_0000057,video_validation_0000057.mp4,20,background_background,175.5,175.5,1,1
video_validation_0000057,video_validation_0000057.mp4,20,background_background,211.5,211.5,1,1
video_validation_0000057,video_validation_0000057.mp4,20,background_background,225.5,225.5,1,1
video_validation_0000058,video_validation_0000058.mp4,20,background_background,76.5,76.5,1,1
video_validation_0000058,video_validation_0000058.mp4,20,background_background,111.5,111.5,1,1
video_validation_0000058,video_validation_0000058.mp4,20,background_background,119.5,119.5,1,1
video_validation_0000058,video_validation_0000058.mp4,20,background_background,129,129,1,1
video_validation_0000059,video_validation_0000059.mp4,20,background_background,4.5,4.5,1,1
video_validation_0000059,video_validation_0000059.mp4,20,background_background,22,22,1,1
video_validation_0000059,video_validation_0000059.mp4,20,background_background,40,40,1,1
video_validation_0000059,video_validation_0000059.mp4,20,background_background,65,65,1,1
video_validation_0000059,video_validation_0000059.mp4,20,background_background,78,78,1,1
video_validation_0000059,video_validation_0000059.mp4,20,background_background,102.5,102.5,1,1
video_validation_0000059,video_validation_0000059.mp4,20,background_background,110,110,1,1
video_validation_0000059,video_validation_0000059.mp4,20,background_background,121.5,121.5,1,1
video_validation_0000059,video_validation_0000059.mp4,20,background_background,131.5,131.5,1,1
video_validation_0000059,video_validation_0000059.mp4,20,background_background,143,143,1,1
video_validation_0000059,video_validation_0000059.mp4,20,background_background,164.5,164.5,1,1
video_validation_0000059,video_validation_0000059.mp4,20,background_background,181.5,181.5,1,1
video_validation_0000059,video_validation_0000059.mp4,20,background_background,198,198,1,1
video_validation_0000059,video_validation_0000059.mp4,20,background_background,211,211,1,1
video_validation_0000059,video_validation_0000059.mp4,20,background_background,223.5,223.5,1,1
video_validation_0000060,video_validation_0000060.mp4,20,background_background,22.5,22.5,1,1
video_validation_0000060,video_validation_0000060.mp4,20,background_background,49.5,49.5,1,1
video_validation_0000060,video_validation_0000060.mp4,20,background_background,58.5,58.5,1,1
video_validation_0000060,video_validation_0000060.mp4,20,background_background,71.5,71.5,1,1
video_validation_0000060,video_validation_0000060.mp4,20,background_background,77,77,1,1
video_validation_0000060,video_validation_0000060.mp4,20,background_background,98.5,98.5,1,1
video_validation_0000060,video_validation_0000060.mp4,20,background_background,121.5,121.5,1,1
video_validation_0000060,video_validation_0000060.mp4,20,background_background,131,131,1,1
video_validation_0000060,video_validation_0000060.mp4,20,background_background,140,140,1,1
video_validation_0000060,video_validation_0000060.mp4,20,background_background,147.5,147.5,1,1
video_validation_0000060,video_validation_0000060.mp4,20,background_background,181,181,1,1
video_validation_0000151,video_validation_0000151.mp4,20,background_background,5,5,1,1
video_validation_0000151,video_validation_0000151.mp4,20,background_background,28.5,28.5,1,1
video_validation_0000152,video_validation_0000152.mp4,20,background_background,10.5,10.5,1,1
video_validation_0000152,video_validation_0000152.mp4,20,background_background,49,49,1,1
video_validation_0000152,video_validation_0000152.mp4,20,background_background,69,69,1,1
video_validation_0000152,video_validation_0000152.mp4,20,background_background,150.5,150.5,1,1
video_validation_0000153,video_validation_0000153.mp4,20,background_background,1.5,1.5,1,1
video_validation_0000153,video_validation_0000153.mp4,20,background_background,12.5,12.5,1,1
video_validation_0000153,video_validation_0000153.mp4,20,background_background,24.5,24.5,1,1
video_validation_0000153,video_validation_0000153.mp4,20,background_background,49,49,1,1
video_validation_0000153,video_validation_0000153.mp4,20,background_background,82,82,1,1
video_validation_0000153,video_validation_0000153.mp4,20,background_background,114,114,1,1
video_validation_0000153,video_validation_0000153.mp4,20,background_background,157,157,1,1
video_validation_0000154,video_validation_0000154.mp4,20,background_background,3.5,3.5,1,1
video_validation_0000154,video_validation_0000154.mp4,20,background_background,12.5,12.5,1,1
video_validation_0000154,video_validation_0000154.mp4,20,background_background,20.5,20.5,1,1
video_validation_0000154,video_validation_0000154.mp4,20,background_background,43,43,1,1
video_validation_0000155,video_validation_0000155.mp4,20,background_background,27.5,27.5,1,1
video_validation_0000155,video_validation_0000155.mp4,20,background_background,62,62,1,1
video_validation_0000156,video_validation_0000156.mp4,20,background_background,2,2,1,1
video_validation_0000156,video_validation_0000156.mp4,20,background_background,17,17,1,1
video_validation_0000156,video_validation_0000156.mp4,20,background_background,32.5,32.5,1,1
video_validation_0000156,video_validation_0000156.mp4,20,background_background,81.5,81.5,1,1
video_validation_0000156,video_validation_0000156.mp4,20,background_background,106,106,1,1
video_validation_0000156,video_validation_0000156.mp4,20,background_background,116,116,1,1
video_validation_0000156,video_validation_0000156.mp4,20,background_background,125,125,1,1
video_validation_0000156,video_validation_0000156.mp4,20,background_background,141.5,141.5,1,1
video_validation_0000156,video_validation_0000156.mp4,20,background_background,161,161,1,1
video_validation_0000156,video_validation_0000156.mp4,20,background_background,179,179,1,1
video_validation_0000156,video_validation_0000156.mp4,20,background_background,220,220,1,1
video_validation_0000156,video_validation_0000156.mp4,20,background_background,235.5,235.5,1,1
video_validation_0000157,video_validation_0000157.mp4,20,background_background,10.5,10.5,1,1
video_validation_0000158,video_validation_0000158.mp4,20,background_background,3,3,1,1
video_validation_0000158,video_validation_0000158.mp4,20,background_background,22.5,22.5,1,1
video_validation_0000158,video_validation_0000158.mp4,20,background_background,41,41,1,1
video_validation_0000158,video_validation_0000158.mp4,20,background_background,180.5,180.5,1,1
video_validation_0000158,video_validation_0000158.mp4,20,background_background,193,193,1,1
video_validation_0000158,video_validation_0000158.mp4,20,background_background,199.5,199.5,1,1
